gate_id	description	real_evidence	verified	result
G-ENLIL-CLI	bahyway-enlil CLI built (blob-locality/locality/layer-metrics/field/prove), real particle-store substrate, no fabricated data	4 real playbooks (655/663/670/671) run live, ok=19/12/11/11 failed=0 each	commit e93cdd83	PASS
G-PB671	playbook_671 Ensure-output + become:true scoping fixed (two real bugs found live)	re-run live on bare-metal host, ok=12 failed=0	commits 1529a2a7 / 42aff475	PASS
G-WALKER	PB-672 walker false-negative fix: --check no longer gates LIVE run	PB-654 (previously permanently blocked) now shows LIVE rc=0 through the walker	commit 9d43f56f	PASS
G-BACKLOG-DEDUP	Phase-3 backlog deduped: PB-618-625 removed as separate entries (PB-626 already runs them internally, avoiding a guaranteed false "already sealed" failure)	backlog reduced 50 -> 42 items, verified by re-run	commit 9d43f56f	PASS
G-PB621	playbook_621 idempotency fix: no longer double-registers units on re-run	re-run live, ok=7 failed=0, count stayed exactly 4 after re-run	commit ef52fbe8	PASS
G-SEALG0	playbook_618/619/620/654 G0 gate: "already sealed" is a clean meta:end_play, not a fatal assert (proved empirically that a fatal assert halts the ENTIRE ansible-playbook run, not just one play)	PB-626 chain proceeds past all four already-sealed tablets instead of halting at the first one	commit 7bc6d809	PASS
G-ENLIL-FIELD	enlil-field crate built for real: GL-FLD-001 scatter-add kernel, conservation gate, Masku descent gate, real parallel 1e9-particle sub-second bench	playbook_623 run live, ok=7 failed=0; 2 unit tests pass; bench=570ms for 1e9 particles (4 real threads, this container's hardware)	commit 6f0bd56b	PASS
G-ACCOUNT-EMITTER	account-emitter crate built for real: epistemic-classified ledger + real betti-number computation (union-find beta0, E-V+C beta1), Anti-SQL clean	playbook_624 run live, ok=7 failed=0; 5 unit tests pass	commit 6f0bd56b	PASS
G-PALU-RITE	Full PB-626 site-seal rite (GL-UNT-001/FED-001/FLD-001 seal + units + factors/leaves + field kernel + account emitter + Sala tab promotion + seal verification) runs end to end	live run, ok=49 failed=0, "CSR-08 rite complete"	2026-08-27, this session	PASS
G-ENKIMDB	EnkiMDB real crate/playbook catalog populated and verified over the network	OK:INGESTED:212 crates, OK:INGESTED:389 playbooks, OK:FLUSHED:1199, 20 real Crate rows + 20 real Playbook rows queried from uruk-node-read	real bare-metal host run, this session	PASS
G-1B1S	"1e9 particles < 1s" sub-second law (GL-FLD-001 §1) — real, parallel scatter-add, no fabricated numbers	enlil-field --bench 1000000000 --assert-under-ms 1000 -> 570ms PASS on this container's 4-core hardware (single-threaded baseline was 2970ms; real hardware may differ, re-verify on the bare-metal host)	commit 6f0bd56b	PASS
